longitude,latitude,start_date,end_date,label,cube,time_series
-57.5157522,-17.11497014,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-57.5157522,-17.18045732,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-57.51359624,-18.40881364,2018-01-01,2018-12-19,"RIO, LAGO E OCEANO",pantanal,
-57.51144029,-18.73247664,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-57.50524191,-18.13743259,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-57.50443343,-18.49289595,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-57.50039101,-18.66402501,2018-01-01,2018-12-19,CAMPO ALAGADO E ÁREA PANTANOSA,pantanal,
-57.49958253,-17.3804223,2018-01-01,2018-12-19,CAMPO ALAGADO E ÁREA PANTANOSA,pantanal,
-57.49958253,-17.39524451,2018-01-01,2018-12-19,CAMPO ALAGADO E ÁREA PANTANOSA,pantanal,
-57.4958096,-17.46908602,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-57.49284516,-18.291314,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
-57.48853325,-18.53574559,2018-01-01,2018-12-19,CAMPO ALAGADO E ÁREA PANTANOSA,pantanal,
-57.48745527,-17.02468945,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-57.4861078,-18.35195028,2018-01-01,2018-12-19,CAMPO ALAGADO E ÁREA PANTANOSA,pantanal,
-57.48233487,-17.90755371,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
-57.48206538,-18.88150714,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
-57.48152639,-17.43270425,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-57.48125689,-18.69825083,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-57.47937043,-18.70525769,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-57.47829245,-17.45992321,2018-01-01,2018-12-19,CAMPO ALAGADO E ÁREA PANTANOSA,pantanal,
-57.47802296,-18.18324667,2018-01-01,2018-12-19,CAMPO ALAGADO E ÁREA PANTANOSA,pantanal,
-57.47694498,-18.54814234,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
-57.47451953,-18.89794631,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
-57.47263307,-17.06241869,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
-57.4707466,-18.88770552,2018-01-01,2018-12-19,CAMPO ALAGADO E ÁREA PANTANOSA,pantanal,
-57.46751267,-17.75313332,2018-01-01,2018-12-19,"RIO, LAGO E OCEANO",pantanal,
-57.46427873,-18.89309541,2018-01-01,2018-12-19,CAMPO ALAGADO E ÁREA PANTANOSA,pantanal,
-57.46373975,-17.92075895,2018-01-01,2018-12-19,CAMPO ALAGADO E ÁREA PANTANOSA,pantanal,
-57.46212278,-18.12988675,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
-57.45996682,-18.08326418,2018-01-01,2018-12-19,"RIO, LAGO E OCEANO",pantanal,
-57.45727188,-17.7636436,2018-01-01,2018-12-19,"RIO, LAGO E OCEANO",pantanal,
-57.4559244,-17.71702104,2018-01-01,2018-12-19,"RIO, LAGO E OCEANO",pantanal,
-57.44837855,-18.51068259,2018-01-01,2018-12-19,"RIO, LAGO E OCEANO",pantanal,
-57.44676159,-17.28987212,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-57.4459531,-17.0171436,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-57.44379715,-17.71378711,2018-01-01,2018-12-19,CAMPO ALAGADO E ÁREA PANTANOSA,pantanal,
-57.43813776,-18.17623981,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-57.43732928,-17.30900624,2018-01-01,2018-12-19,CAMPO ALAGADO E ÁREA PANTANOSA,pantanal,
-57.43140039,-17.56529559,2018-01-01,2018-12-19,CAMPO ALAGADO E ÁREA PANTANOSA,pantanal,
-57.42762747,-17.95148133,2018-01-01,2018-12-19,CAMPO ALAGADO E ÁREA PANTANOSA,pantanal,
-57.42574101,-18.5853326,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-57.42196808,-17.67012898,2018-01-01,2018-12-19,CAMPO ALAGADO E ÁREA PANTANOSA,pantanal,
-57.4211596,-18.18944505,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
-57.41954263,-18.51634198,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
-57.41927314,-17.71109216,2018-01-01,2018-12-19,CAMPO ALAGADO E ÁREA PANTANOSA,pantanal,
-57.41846465,-18.54948982,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
-57.41765617,-17.22842736,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-57.4163087,-18.89228693,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-57.40903234,-17.34457952,2018-01-01,2018-12-19,CAMPO ALAGADO E ÁREA PANTANOSA,pantanal,
-57.40418144,-17.15566382,2018-01-01,2018-12-19,CAMPO ALAGADO E ÁREA PANTANOSA,pantanal,
-57.40202549,-17.19851346,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
-57.39960003,-17.53457321,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-56.04431176,-18.83057267,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-56.0426948,-17.26858205,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-56.03595743,-18.37135389,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-56.01412837,-17.91725552,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
-56.00927747,-17.42785335,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-55.99903667,-17.24405804,2018-01-01,2018-12-19,"RIO, LAGO E OCEANO",pantanal,
-55.99822819,-18.24846436,2018-01-01,2018-12-19,CAMPO ALAGADO E ÁREA PANTANOSA,pantanal,
-55.98178902,-17.80703223,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
-55.97855509,-18.49208747,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.97666862,-17.40844974,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.97424317,-18.36704198,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.96966176,-18.65836563,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
-55.96939227,-17.17264198,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-55.96939227,-18.68881852,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
-55.96076844,-17.37503241,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-55.95915148,-18.2368761,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.95052765,-17.45318584,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-55.94432927,-17.00986725,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-55.94217332,-17.92507086,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-55.94001736,-18.86237303,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-55.93462747,-17.99729541,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-55.93166303,-17.60922321,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
-55.93166303,-18.41797646,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.91953577,-18.51580299,2018-01-01,2018-12-19,OUTRA ÁREA NÃO VEGETADA,pantanal,
-55.9179188,-18.21369956,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-55.91252891,-17.07077303,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
-55.91145093,-18.67157086,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
-55.90740852,-18.87503927,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
-55.89959317,-18.14821238,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.88881339,-18.75457519,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
-55.8783031,-17.85015137,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-55.87506917,-18.87234433,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.86994877,-17.74612646,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.86940978,-17.0322353,2018-01-01,2018-12-19,OUTRA ÁREA NÃO VEGETADA,pantanal,
-55.86294191,-17.46666057,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.85054516,-18.77317032,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-55.84946718,-18.52954722,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
-55.8483892,-18.11614252,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
-55.84488577,-18.49612989,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.83033306,-18.36650299,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-55.82305671,-18.51229956,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.81982278,-18.20345877,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.81820581,-18.41150859,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-55.8136244,-18.44330895,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.80985148,-17.12979234,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-55.80149714,-17.47339794,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.78424949,-17.48175227,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.77697314,-17.9530983,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
-55.76026447,-18.30829216,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.75676104,-17.91078765,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.75460509,-17.33999812,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
-55.75460509,-17.99675642,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.74759823,-18.21747249,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.74571176,-17.95417628,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
-55.74166935,-18.52766075,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-55.74113036,-17.52675786,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-55.73789642,-17.20282537,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.72657765,-17.57230245,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-55.72442169,-17.43944162,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-55.72064877,-17.39793945,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-55.71930129,-18.32688729,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.71067747,-17.16482664,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-55.70259263,-18.14390046,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.6993587,-18.17138891,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.6942383,-17.82724433,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.69262133,-18.66510299,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.68723144,-17.84260552,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.68103306,-18.41986292,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.68076357,-17.64371851,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.67833812,-18.60743115,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.67591267,-18.75080227,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.67375671,-18.79284343,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.6643244,-17.34700498,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
-55.66001249,-18.14551743,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.65489209,-18.44034451,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.65354462,-18.17597032,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
-55.65084967,-18.91142104,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
-55.64033938,-18.18540263,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
-55.63009859,-17.51570859,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.61554588,-17.83586815,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-55.61069498,-18.2217844,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.60907801,-17.81646454,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-55.60907801,-17.99028855,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.60853902,-18.83946599,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.60800003,-17.37637989,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-55.60719155,-17.1718335,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-55.60503559,-18.83326761,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.60099317,-17.07400696,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.5945253,-17.20066942,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-55.59263884,-17.48579469,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
-55.59209985,-17.96091364,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
-55.57673866,-17.92210642,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.57377422,-18.65567068,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.55760454,-18.71684595,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-55.5497892,-18.78691454,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-55.53847043,-18.94510787,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-55.53335003,-18.05631472,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.53065509,-17.79221003,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.52095328,-18.78637556,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.51637187,-17.37880534,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.51637187,-17.9530983,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.51394642,-18.36488602,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.49265635,-18.35302826,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.47325274,-18.95669613,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.47109678,-18.43441563,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
-55.46974931,-18.42660028,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
-55.4654374,-17.90890119,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-55.464898410000004,-18.44438693,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
-55.46328144,-17.05244739,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-55.45627458,-17.74855191,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
-55.45277115,-17.21414415,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-55.45223216,-18.12422736,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.45142368,-18.34682989,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.44118288,-17.17884035,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-55.44064389,-18.23525913,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.43606249,-17.77038097,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-55.43390653,-17.45453332,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.4304031,-18.06035714,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.42986411,-17.58793314,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
-55.42824714,-17.06080173,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-55.42339624,-17.80245082,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
-55.41180797,-17.51112718,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.39509931,-17.32517591,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-55.38890093,-18.6748048,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.38701447,-18.92462628,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.38297205,-17.65611527,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.37677368,-18.09646942,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.36949732,-18.05631472,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.36168198,-18.77802122,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.35790906,-18.01346509,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.35710057,-18.02451436,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.34982422,-17.46800804,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.34200888,-17.95390678,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.33500202,-18.69151346,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-55.32745617,-18.60904812,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
-55.32260527,-17.25375985,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.31640689,-17.29849595,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.31236447,-18.90710913,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.30859155,-18.80173675,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.3061661,-17.35266436,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.29835075,-17.53592068,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
-55.29673379,-18.92112285,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-55.29349985,-17.69626996,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.29269137,-17.77765732,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.29242187,-18.19726039,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.28757097,-18.16168711,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-55.27813866,-17.9530983,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.27274877,-17.69222754,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.2660114,-17.78574216,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.25442314,-17.79733043,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-55.25334516,-17.24163259,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.24526032,-18.36003512,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
-55.2360975,-18.27217989,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.223161760000004,-18.71765444,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.22181429,-17.10149541,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.2161549,-17.95363729,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.20860906,-18.66240805,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.20699209,-18.02559234,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-55.20483613,-17.83128675,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.20321916,-18.42471382,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.19675129,-18.61874992,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.17869516,-18.17758729,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.17869516,-18.27244938,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.17492223,-17.10499884,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.17249678,-18.22367086,2018-01-01,2018-12-19,"RIO, LAGO E OCEANO",pantanal,
-55.16953234,-18.52146238,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.16845436,-17.19123711,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-55.16198649,-17.4353992,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-55.1568661,-18.89579036,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.15201519,-18.80604866,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.1514762,-18.69286093,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.14878126,-18.7739788,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.14797277,-17.43108729,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.14743379,-17.79948638,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.14096592,-17.0772409,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.13773198,-18.05820119,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-55.12264028,-18.55218476,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.12129281,-18.54787285,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.11832837,-17.65988819,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
-55.11078252,-17.35913223,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.10835707,-18.88581906,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.1070096,-18.27837826,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.1067401,-17.15242989,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
-55.10647061,-17.07346797,2018-01-01,2018-12-19,OUTRA ÁREA NÃO VEGETADA,pantanal,
-55.10566212,-18.85294072,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.09865527,-18.41474252,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.09649931,-17.8932705,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-55.09488234,-17.33649469,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-55.0867975,-17.78196924,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.08571953,-18.92624325,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.08302458,-17.69950389,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.0722448,-18.24280498,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.07089732,-18.81089956,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
-55.06011754,-18.00618873,2018-01-01,2018-12-19,PASTAGEM,pantanal,
-55.05661411,-17.57445841,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-55.05122422,-17.39955642,2018-01-01,2018-12-19,FORMAÇÃO SAVÃNICA,pantanal,
-55.0471818,-18.14605642,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
